# AACR-Bench -> ReviewGate 评测清单
# 数据来源：阿里巴巴开源数据集 alibaba/aacr-bench
# 原始描述：200 real Pull Requests from 50 active open-source projects, 10 languages,
#          human-LLM collaborative annotation, 1,505 review comments as ground truth.
# 列（Tab 分隔）：repo	pr	source_commit	target_commit	label	language	category	change_line_count	note
# source_commit = PR base, target_commit = PR head
comfyanonymous/ComfyUI	8446	c7b25784b141a298d8ee5f0d830a29da6e8a3d54	4dcd698e489da69294ee01de0350a9a02e3e4b41	positive	Python	New Feature Additions	971	Python | New Feature Additions | 18 comments
comfyanonymous/ComfyUI	6033	6c0377f43e7b6ed58d48ae05cff9bc45b52ef5e0	0bb60235132cc72daea81427107a40ba1ccb5ddf	positive	Python	Code Style, Linting, Formatting Fixes	30	Python | Code Style, Linting, Formatting Fixes | 7 comments
comfyanonymous/ComfyUI	9560	a86aaa430183068e2a264495c802c81d05eb350a	cfc312296c0b9f255bba6b4b2789ac7bbc66a7cb	positive	Python	Bug Fix	319	Python | Bug Fix | 6 comments
comfyanonymous/ComfyUI	6542	832e3f5ca3c357e527fdf811502357bd2798425e	b55c2247654476fbc744e572ba7a834fd9378745	positive	Python	Bug Fix	15	Python | Bug Fix | 2 comments
mrdoob/three.js	31402	de413e2112ff1ae80599f145b101354a1476976c	b55b9e97f6d0f5829e4d8fc364949e72b0d9e98c	positive	JavaScript	New Feature Additions	210	JavaScript | New Feature Additions | 10 comments
mrdoob/three.js	30076	1fc010cb7bd1e17d94c1a33ba8dacdf9e34193cb	7388f600209ce8a98f7211cd0e93a170b6e98d61	positive	JavaScript	Code Style, Linting, Formatting Fixes	151	JavaScript | Code Style, Linting, Formatting Fixes | 17 comments
mrdoob/three.js	30750	bf4e6fcb64a1d6bdbaf975528595ac6873051641	96ab0720fc65368e32ee3f2389cb192f96d8adff	positive	JavaScript	Bug Fix	61	JavaScript | Bug Fix | 4 comments
CherryHQ/cherry-studio	5540	f258f5b2cb4a4cf9012e106837aba409b383e367	83a25941859179b635105c9b4fd79d5542e3701e	positive	TypeScript	New Feature Additions	345	TypeScript | New Feature Additions | 19 comments
CherryHQ/cherry-studio	5637	636c788e2ba413d21a5fd385c3ea4cc7e134e1be	5644b00b87e07fa1acd84d4ec93f9f2fb1205090	positive	TypeScript	Code Refactoring / Architectural Improvement	687	TypeScript | Code Refactoring / Architectural Improvement | 23 comments
opencv/opencv	26815	459bb12466abdade062607ae54f3267adaef8063	e3e45c86baa3c51def49961f5d77201ee97e4385	positive	C++	Security Patches / Vulnerability Fixes	11	C++ | Security Patches / Vulnerability Fixes | 4 comments
opencv/opencv	27297	16a3d37dc159dbcaaf8ee74cf63669f0203f9655	e546382fc1cbb61a7679c0511303729844a70111	positive	C++	Bug Fix	48	C++ | Bug Fix | 1 comments
opencv/opencv	27284	868fc5c581228f8f47bf4bc3ee84427acc99226a	79afad939ecfaa332af0541db473fa94f8f425b6	positive	C++	New Feature Additions	307	C++ | New Feature Additions | 14 comments
nextcloud/server	52846	4aa4972550bec08faf477113f223475f7fb3e5d2	51b5ea92ccb5f4683b0f52840a01031e1ed0baa3	positive	PHP	Code Refactoring / Architectural Improvement	165	PHP | Code Refactoring / Architectural Improvement | 2 comments
lvgl/lvgl	8164	344ba9fe99b487f7f5164900679d56acf2d8bff2	9cce37c219f95701fecc44f74595aa9c6effbdba	positive	C	New Feature Additions	67	C | New Feature Additions | 5 comments
lvgl/lvgl	8129	d2ed41dda1618049a037df2639b9d28578847195	4a57db33476f1caf3e85726a6b1e189c68c1f36b	positive	C	Performance Optimizations	29	C | Performance Optimizations | 5 comments
lvgl/lvgl	8689	244b3b996e0b331468cf5967c937029535af569c	e526b2a1faa4672eeb3610b466ecc25b1abb220b	positive	C	Code Style, Linting, Formatting Fixes	804	C | Code Style, Linting, Formatting Fixes | 33 comments
lvgl/lvgl	7602	5f41926f0414c02f70547c50329969f7fe6a4b8d	a0067e3984cc95bb3ed0dce9abb664ee6a01a199	positive	C	Bug Fix	109	C | Bug Fix | 2 comments
cline/cline	5177	a1bf1f95a30ca95581d9811488636aec42dd2f80	419534ccd4241fc11827741eb0d76ba0c9d21277	positive	TypeScript	Bug Fix	33	TypeScript | Bug Fix | 2 comments
cline/cline	5955	b3abbd886e7e693c48b31a0af8046035bf014118	f098af0f52bf1cdb7eb561c380caef5746b58d40	positive	TypeScript	New Feature Additions	165	TypeScript | New Feature Additions | 8 comments
cline/cline	4676	0262e13ac48bbbc29f6c76b6b9a72e7e2ed2eb4b	d0a8db831cbe657faf792f00c0e3325de0b75fb4	positive	TypeScript	Performance Optimizations	179	TypeScript | Performance Optimizations | 15 comments
cline/cline	2347	07d20574868b2ebb51c95c30a7a81b3793f0f07e	7d18fb9df620c61420c6939df22fb6f7af836bb2	positive	TypeScript	Bug Fix	63	TypeScript | Bug Fix | 9 comments
cline/cline	4786	398bc87a64800e021966868243be2f09be72e73c	2195a689b787a963bdacc35d348f4590c30a2692	positive	TypeScript	Security Patches / Vulnerability Fixes	69	TypeScript | Security Patches / Vulnerability Fixes | 7 comments
cline/cline	5524	8f4c6038dd70ce02caaf7ae924dc28d5be63968e	ca7f02b8cf8cd36d832a63e1c9ad892356c7df66	positive	TypeScript	Code Refactoring / Architectural Improvement	333	TypeScript | Code Refactoring / Architectural Improvement | 9 comments
cline/cline	1808	4d8bdf29458db722a2bce1dfacc50771959b32fa	cb4d5c90460885942cbbae0298b95f4ee5682086	positive	TypeScript	New Feature Additions	11	TypeScript | New Feature Additions | 3 comments
browser-use/browser-use	1482	fa461585f1fc2d4a430e68e6c115a12f4936fe73	0b21e50ca640581ecd46990475c8b223eaa05045	positive	Python	New Feature Additions	133	Python | New Feature Additions | 2 comments
browser-use/browser-use	857	515b94225aa86c40dc2c20034055ab8bcc88c6ae	aab7b3bb54e2b15ee3b32ad7de74c91fc8b22f52	positive	Python	New Feature Additions	95	Python | New Feature Additions | 2 comments
browser-use/browser-use	3172	e85a547378b236c9788802d28e816f10940a7e53	72f1585f9add5b72e829eaee3b5bff684e0b08d3	positive	Python	Performance Optimizations	324	Python | Performance Optimizations | 2 comments
electron/electron	46982	9f8a629126a31224f6b1aa90d650cdc61f7568f2	c4864570586f4c2f019797d3b0a9c4c76e93396b	positive	C++	Code Refactoring / Architectural Improvement	190	C++ | Code Refactoring / Architectural Improvement | 5 comments
electron/electron	47361	a42afaa8665b6d1b3a344918c60853184a97060e	6084595c5608226e961d251bfb5ec138de8022ca	positive	C++	Bug Fix	64	C++ | Bug Fix | 6 comments
electron/electron	46660	7083419361385dfcd762656f0227581aedc4f514	100ad244b742d221ad129e96bef934e8128403a9	positive	C++	Bug Fix	6	C++ | Bug Fix | 2 comments
electron/electron	45671	d6f4982522efd5917b44d1ceed418e4a0ee7824e	2cc56562e22cd36c70f0b632c3297d62c3c58b06	positive	C++	Code Refactoring / Architectural Improvement	82	C++ | Code Refactoring / Architectural Improvement | 7 comments
nodejs/node	56185	6cd1805364f457b19ebecb38b8f909146f968354	b2255442712cb6db83d112deb6ba61197d06a5f3	positive	JavaScript	Bug Fix	62	JavaScript | Bug Fix | 4 comments
nodejs/node	57691	18b9120435287eafb1865102c6c4dc6a7cff5ede	e8b6c183d46c41b2992c4f5cafceb7f9c6f8710d	positive	JavaScript	Test Suite / CI Enhancements	169	JavaScript | Test Suite / CI Enhancements | 2 comments
sveltejs/svelte	15250	e4987d2a9f36b33f3934725723f9c4cc998ef278	4bf1f915d3374721f8a1655b1a151c1c423b1a3c	positive	JavaScript	Performance Optimizations	105	JavaScript | Performance Optimizations | 14 comments
sveltejs/svelte	16232	2af7ba21563f1b7f011ffa9f0c08e4acb473eef3	44bec4c8b172a47ff300f754463555bbb694bb05	positive	JavaScript	Bug Fix	326	JavaScript | Bug Fix | 5 comments
alibaba/spring-ai-alibaba	869	76c06b58a4d9e8ee3fe3c0269a046987ad0502e5	3555a95e7b888335d9f72e432eb4f9fb9640e8cd	positive	Java	Bug Fix	140	Java | Bug Fix | 4 comments
alibaba/spring-ai-alibaba	903	71e7eeb27dfe42c5a805da413ef6e9faf84fe9d0	4bc73055c7b33f53433d9725eab5010b85a59632	positive	Java	Bug Fix	118	Java | Bug Fix | 10 comments
google-gemini/gemini-cli	4828	de968877895a8ae5f0edb83a43b37fa190cc8ec9	77ea28a234023019ddda3f4a5f7a81b3514d3eb8	positive	TypeScript	New Feature Additions	861	TypeScript | New Feature Additions | 24 comments
google-gemini/gemini-cli	8797	6e4236bf7681b2a2cba5630a8dd0a0d5a200a0df	d64b61ef89f01ecdc0e095a995d47522245a0065	positive	TypeScript	Bug Fix	436	TypeScript | Bug Fix | 5 comments
google-gemini/gemini-cli	4163	7ffe8038efaa5bf263a2a933819bcd4badd37dc2	e7ed0a410ae510cda8b53ea20f3d758bd90a0f00	positive	TypeScript	Code Refactoring / Architectural Improvement	275	TypeScript | Code Refactoring / Architectural Improvement | 3 comments
google-gemini/gemini-cli	5793	53f8617b249c9f0443f5082a293a30504a118030	4c150ab4befb2a727b493d732d8d3d01f388e492	positive	TypeScript	Bug Fix	262	TypeScript | Bug Fix | 3 comments
google-gemini/gemini-cli	9177	809b933d8150c29154062e4d596cd916258022fc	c6e624883852318b71baa2a060c933bb5de591ef	positive	TypeScript	Test Suite / CI Enhancements	103	TypeScript | Test Suite / CI Enhancements | 7 comments
google-gemini/gemini-cli	5819	4e49ee4c734f53a705df72efda2d076cb0acf44e	6fd82699700fc19ea30a7b29a059f392ccfbb2cc	positive	TypeScript	New Feature Additions	300	TypeScript | New Feature Additions | 14 comments
google-gemini/gemini-cli	8154	5a05fb0dd002481343aaab7736a871904bb07c6f	0fa1bd7ac417366f321ed2554caeaef550321959	positive	TypeScript	Security Patches / Vulnerability Fixes	405	TypeScript | Security Patches / Vulnerability Fixes | 13 comments
infiniflow/ragflow	7151	8362ab405c35d260dd2328dc207aefcf30778f66	f189316eae1c199a5891f7a8bc47d53bb1b5c818	positive	Python	Bug Fix	207	Python | Bug Fix | 10 comments
infiniflow/ragflow	6691	0a42e5777eb966b26aaf8f2a7d593ae99a4aa87a	a63caa1087852ada98964678be26b7c4d8363af6	positive	Python	Bug Fix	11	Python | Bug Fix | 6 comments
infiniflow/ragflow	6553	b1c874698469ac999d210cd8cde59425781e4da2	705123406ec7cd5eb1f9be26f6c5c31357aeffc9	positive	Python	Performance Optimizations	37	Python | Performance Optimizations | 6 comments
infiniflow/ragflow	5065	469460483665000f522b6c9a6583bb34f17a954b	2d06022b78536bd22a0fd83f38804f39aa34cce8	positive	Python	New Feature Additions	65	Python | New Feature Additions | 5 comments
appwrite/appwrite	9999	d205ac457960f73d781547540cde1732f69076ac	710b8bda565c411ecb23e8b670d0ba7f45d2b3f3	positive	PHP	Bug Fix	46	PHP | Bug Fix | 18 comments
laravel/framework	56591	6d94b16fd5f4f72bb741f9b900b83179c8ab46c9	0a5238acfc4ca99c363283bf3bb16e20905f2a39	positive	PHP	Bug Fix	4	PHP | Bug Fix | 1 comments
laravel/framework	54226	2e5054a19ba55b335bf8df43a8ae7e032244f671	180c25ff94ae2dff26d2ca5f8bf779af1e8fc8c2	positive	PHP	Test Suite / CI Enhancements	556	PHP | Test Suite / CI Enhancements | 2 comments
valkey-io/valkey	2141	23fb9f2b5162752fbf42d892c6ff311a346565b8	866fa4a4c9635bae6f0a6b59a78954083ff5ff1a	positive	C	Code Refactoring / Architectural Improvement	30	C | Code Refactoring / Architectural Improvement | 1 comments
valkey-io/valkey	1889	ea2e48a807e1d4a1a5a684a2a699eda1934a0c6f	36f37c0bafa72c091a9a3725b9a026a056130892	positive	C	Security Patches / Vulnerability Fixes	52	C | Security Patches / Vulnerability Fixes | 2 comments
valkey-io/valkey	2059	b5c7743971df5476acbdbbbd3b378496e885e1e4	1379171021c18b009fa02c42088e82caf0e33203	positive	C	New Feature Additions	283	C | New Feature Additions | 11 comments
valkey-io/valkey	1651	78bcc0a2cfb33ec940bfb14cb12ea10efa3af93a	ecb3abd53e891861ce996506689336b6442ec8fb	positive	C	Bug Fix	279	C | Bug Fix | 2 comments
valkey-io/valkey	1485	7fa784a27562940d2995fc6e3d6938940d81e4b6	8b2137d6cd7c8b898352b8bcb035402958d92707	positive	C	Performance Optimizations	540	C | Performance Optimizations | 8 comments
facebook/react	32499	99563e91736e9de473c4865d5cb6fd9eb1a26bcb	b045f18e378341876ee69e729fc855cab501c3cd	positive	JavaScript	Code Refactoring / Architectural Improvement	599	JavaScript | Code Refactoring / Architectural Improvement | 16 comments
facebook/react	33059	88b976740467f9dfabae03c79a8eff9033c35050	be58f26f9a6e579d8df36d901a59249d9ac1393f	positive	JavaScript	Test Suite / CI Enhancements	31	JavaScript | Test Suite / CI Enhancements | 1 comments
mudler/LocalAI	4577	78533d7230bdb5e352e325c15d0d53f38428b08e	e466450c007539a2b1e4d2951c6756ff004a2b52	positive	Go	New Feature Additions	185	Go | New Feature Additions | 21 comments
bitcoin/bitcoin	31886	d1b583181dcc31613cd586d63329cb4c4a586972	724546e28a5778e1c3f5100406ed7237f76aab55	positive	C++	New Feature Additions	34	C++ | New Feature Additions | 4 comments
bitcoin/bitcoin	31405	ae024137bda9fe189f4e7ccf26dbaffd44cbbeb6	4ba2e480ffa0b77113953bee4ff5c9349e277e7e	positive	C++	Bug Fix	135	C++ | Bug Fix | 1 comments
bitcoin/bitcoin	32425	663a9cabf811e2fc53102bc6da00d09fc99d1d81	e98c51fcce9ae3f441a416cab32a5c85756c6c64	positive	C++	New Feature Additions	254	C++ | New Feature Additions | 4 comments
wavetermdev/waveterm	1793	286783fb8e71cec6d2294bd871e5ccf8c798c646	90a57d552d15f1b2a4d92cdfc3a4308efcf5c57b	positive	Go	Code Refactoring / Architectural Improvement	522	Go | Code Refactoring / Architectural Improvement | 5 comments
wavetermdev/waveterm	1755	3beb14aa6bdd9118c43cdd75adca32616619451b	61b0fb4baec87c6fa91bdeadc43fab75fd29eb61	positive	Go	New Feature Additions	808	Go | New Feature Additions | 19 comments
wavetermdev/waveterm	1998	ce9775c00c36ba290c7a6f5134c0ff7759def6eb	4b7637fb17fb0f937d67f12a63f3f370a3343117	positive	Go	Bug Fix	792	Go | Bug Fix | 14 comments
n8n-io/n8n	20210	291a39c87eb2bc228816d02c55a1f6857822006f	ebe680fbcacd9210aa219ab01d98012ac1d6faae	positive	TypeScript	Test Suite / CI Enhancements	761	TypeScript | Test Suite / CI Enhancements | 21 comments
n8n-io/n8n	15057	14f59373d2264e97d73474bed5964a6a405d8082	61fc500fee842539e2a5011303147fdf5df0cd96	positive	TypeScript	New Feature Additions	111	TypeScript | New Feature Additions | 12 comments
n8n-io/n8n	13323	aae55fe7ac77594444c3405161555a517902c68b	93216919462181f52d6994f8f20a9a478716545f	positive	TypeScript	Bug Fix	81	TypeScript | Bug Fix | 13 comments
n8n-io/n8n	20344	9627409d223cbff5d8b8a90e796c39b6124a736d	c8d45ad42aebf937a8347aa32a84ca63416bfdd4	positive	TypeScript	Documentation Update	176	TypeScript | Documentation Update | 2 comments
n8n-io/n8n	20188	ef550104cdceb8113381c24fabb63d7e0f6fa6a4	f523897785e1a45484b31c9bb16e66e060553601	positive	TypeScript	Security Patches / Vulnerability Fixes	158	TypeScript | Security Patches / Vulnerability Fixes | 6 comments
n8n-io/n8n	15362	3eb1c1c783a45a150fa7229d8f2590d3786f58ad	77ece2e572096e6ad267e7f9363ebbf9f8ba46e8	positive	TypeScript	Code Refactoring / Architectural Improvement	683	TypeScript | Code Refactoring / Architectural Improvement | 2 comments
microsoft/PowerToys	40814	e1474c1f3020e2615c438d82b29f48626f456a9f	c1cedce10cfe7436da12580ea231d5837520ef69	positive	C#	Bug Fix	26	C# | Bug Fix | 3 comments
immich-app/immich	14777	10e569cc1c563ece2eb7e2581cef943829a72440	91b3b6aebd3a02a4ac158b21ce469138df893178	positive	TypeScript	Bug Fix	312	TypeScript | Bug Fix | 16 comments
immich-app/immich	17124	6ba94ac2f2f78c871f56874a7c2ff61b2ff4a06b	966c3f22d034c230a14bb21b02627ef6d00eec68	positive	TypeScript	Performance Optimizations	122	TypeScript | Performance Optimizations | 2 comments
immich-app/immich	17535	584e5894bfd4fe356e790fa9781ccee4e5224874	5f4759196534661bd332085514878d0efbb7ce84	positive	TypeScript	Code Refactoring / Architectural Improvement	692	TypeScript | Code Refactoring / Architectural Improvement | 28 comments
immich-app/immich	18043	55f4e93456ab7415082e342af9ad5cabd52562a6	9032c7e021872a913e28de2e79bd9ab9806e7413	positive	TypeScript	New Feature Additions	253	TypeScript | New Feature Additions | 6 comments
immich-app/immich	14874	4d6d5537b713ca80bb2a670fdc7be66882b12d5c	7e2009f038cbf3f26403af6582af3cf8ba91672f	positive	TypeScript	Bug Fix	55	TypeScript | Bug Fix | 5 comments
immich-app/immich	16893	c664d99a348999d16cda45a8dd57db436b8f9fba	d38f1f55f42d600d05058e70d6ccee9679623591	positive	TypeScript	New Feature Additions	125	TypeScript | New Feature Additions | 19 comments
immich-app/immich	17879	b845184c80295603e3a02dfad84ff2755d417aff	b7a12558bc8e69c9c96b9a5b12f61f94689ea0e3	positive	TypeScript	Code Refactoring / Architectural Improvement	213	TypeScript | Code Refactoring / Architectural Improvement | 9 comments
vllm-project/vllm	12608	7a8987dac5f0ed0c798a73e8b4ec8f5e640bc63a	075f1b5b8015e343f25b45d36ccff571cb39739b	positive	Python	Code Refactoring / Architectural Improvement	194	Python | Code Refactoring / Architectural Improvement | 6 comments
vllm-project/vllm	15998	5e125e74d1b9739025ccb81106e28ce9b0dd4ea5	a800045d0e2473ce173865edb83967cd210dec4c	positive	Python	Test Suite / CI Enhancements	55	Python | Test Suite / CI Enhancements | 2 comments
vllm-project/vllm	24425	f4962a6d55a340ebb569d377c842deff7611d8f7	6217b0c46176fa51196d862e02e1b3722eefa4de	positive	Python	New Feature Additions	12	Python | New Feature Additions | 1 comments
vllm-project/vllm	19756	c3bf9bad11193ee684ed6083b6692d0b5bf2bac7	3fe18934d7f33b98812d7402463fe171c24efc77	positive	Python	Performance Optimizations	51	Python | Performance Optimizations | 4 comments
vllm-project/vllm	17425	d8037867313eef09779b265ea4bace76d2d118ba	134705b1474ddcfac234a0a01313874f7c8b59bc	positive	Python	Bug Fix	154	Python | Bug Fix | 8 comments
astral-sh/uv	12941	041c7a5e63d5559ce5571a30e177c072b1b357b2	61b521f4e9a1e8bdba760394740814f25cc108c2	positive	Rust	Test Suite / CI Enhancements	122	Rust | Test Suite / CI Enhancements | 1 comments
astral-sh/uv	11088	1fae8dbf1789717f45e82ea290c1c99642d05139	ed57db2b34c2a7a955b2dc76583dce7ace02e628	positive	Rust	Bug Fix	113	Rust | Bug Fix | 6 comments
dbeaver/dbeaver	38239	1df2fe97207fe1346ca92ea9c41dd3fd13303001	ed40132dcb3c6ab5502056b7de0e47c0858ec016	positive	Java	New Feature Additions	90	Java | New Feature Additions | 4 comments
dbeaver/dbeaver	36789	469e4265a58af95a6d5f4069515e029fc2891374	dc67ca7cf486ceaf45559318cdcbca193847188d	positive	Java	New Feature Additions	294	Java | New Feature Additions | 11 comments
dbeaver/dbeaver	37564	24ad3c4030412df3d9c843c405e90a0b1e2ad5dd	bc3ac7bb47092a934b344791d8aa3a1c41e6c8f7	positive	Java	Bug Fix	22	Java | Bug Fix | 4 comments
dbeaver/dbeaver	38915	8793ec7a6c71aa503b1dc492ddb4e982a8f3e9d9	8224826969254a49e68e025cae82d3cf1574de38	positive	Java	Bug Fix	130	Java | Bug Fix | 5 comments
filamentphp/filament	15267	ce4d9d08df41142ff219bb3dc44968084eaae0dc	d47632c0583bac481d4ce7cc9b6b1711d0f8e0fc	positive	PHP	Bug Fix	6	PHP | Bug Fix | 2 comments
filamentphp/filament	15756	8b44845f2bfab244f650d38e1b0ac00e733612e7	912f080f3bf9873c1d059bcb9df485e3d8939220	positive	PHP	Documentation Update	6	PHP | Documentation Update | 1 comments
filamentphp/filament	15181	753ceeac007a0d0aa4423971b01d651288720873	77874d0c3782a257101c3fb578144a6950f3dc9c	positive	PHP	Bug Fix	14	PHP | Bug Fix | 4 comments
filamentphp/filament	15217	e4a7ecf0e65574522eb9fbe70b7339f41de0bbe2	871ec75815e1f92da141e9aef80f287f7779dfe7	positive	PHP	New Feature Additions	11	PHP | New Feature Additions | 3 comments
dotnet/aspnetcore	61006	f83c97fa0b91f83bd20511d1abf235dc48b596e2	0ce67cdee87e9fee014ba95c11e8e36b8913041c	positive	C#	Code Refactoring / Architectural Improvement	115	C# | Code Refactoring / Architectural Improvement | 6 comments
dotnet/aspnetcore	62734	8bb2b2067815996d9a8224ee38aa80a79f797827	742f022e92563bd6fb87d1c752f25fd14e1b2a43	positive	C#	Security Patches / Vulnerability Fixes	6	C# | Security Patches / Vulnerability Fixes | 4 comments
dotnet/aspnetcore	62936	e7d49f52363753a4faa2a22538eace7a923382ce	2f372e8ff137aa24114269576fc1912f12ff5402	positive	C#	Test Suite / CI Enhancements	5	C# | Test Suite / CI Enhancements | 5 comments
dotnet/aspnetcore	59322	7ba02e8ac71eeba562476953d5ff6030b8eda765	8ac940ff581aa344ab8f859874f6d4c0ecaec6b6	positive	C#	Performance Optimizations	226	C# | Performance Optimizations | 5 comments
microsoft/semantic-kernel	11361	fa96214dbc167080bec90a917c7d911a1f3539e4	a712b62f7804121730a95d34195cad365eb350b7	positive	C#	Documentation Update	16	C# | Documentation Update | 3 comments
